,Price,Year,Mileage,City,State,Make,Model
430238,16976,2015,24593,Greeley, CO,Hyundai,Sonata
27133,18999,2013,39528,Miami, FL,BMW,3
413575,18995,2014,45166,Elizabeth City, NC,Honda,Civic
647589,13221,2014,38225,Newburgh, NY,Nissan,SentraS
385241,11995,2013,28860,Fair Oaks, CA,Honda,Civic
394329,12990,2013,35516,Chantilly, VA,Honda,Accord
707428,26995,2015,24301,New Castle, PA,Ram,"1500Express,"
472982,33239,2016,36053,San Mateo, CA,INFINITI,QX60AWD
464970,23477,2016,6918,Tempe, AZ,Hyundai,TucsonFWD
453137,12995,2012,69081,Tucson, AZ,Hyundai,Azera4dr
692286,33195,2017,15668,Hasbrouck Heights, NJ,Nissan,MaximaPlatinum
141662,21883,2013,78858,Patchogue, NY,Chevrolet,Silverado
137900,16995,2014,86290,Covington, GA,Chevrolet,MalibuLS
126294,10000,2007,101362,Fort Myers, FL,Chevrolet,Silverado
102281,16250,2015,31199,Louisville, KY,Chevrolet,EquinoxFWD
723215,39850,2015,84338,COSTA MESA, CA,Ram,"2500SLT,"
712461,29321,2016,40203,Owensboro, KY,Ram,"1500SLT,"
448962,12052,2012,60170,Portland, OR,Hyundai,Azera4dr
250928,8996,2009,70567,Rochester, NY,Ford,Fusion4dr
727018,8351,2012,35000,Sioux Falls, SD,Scion,iQ3dr
570384,34250,2015,26493,Tampa, FL,Lexus,RC
689042,9999,2009,136114,Independence, MO,Nissan,Murano2WD
777113,20471,2016,32759,Victorville, CA,Toyota,AvalonXLE
722377,45696,2016,24491,Placerville, CA,Ram,25004WD
538464,21255,2017,31817,Colorado Springs, CO,Kia,SorentoLX
296244,32152,2017,2198,Watertown, NY,Ford,Escape4WD
193567,21957,2016,17538,Miami, FL,Chrysler,300300S
515665,25995,2014,56177,North Conway, NH,Jeep,WranglerSport
487165,19936,2015,30414,Burlington, NJ,Jeep,CherokeeLatitude
514827,31992,2014,39184,Plano, IL,Jeep,Wrangler
643913,13999,2015,56351,Rosenberg, TX,Nissan,Altima2.5
797763,28290,2016,23133,Fox Lake, IL,Toyota,SiennaXLE
614083,32795,2014,65840,Westbury, NY,Mercedes-Benz,M-ClassML550
45370,29000,2015,25199,Sheboygan, WI,BMW,4
177217,32797,2016,26763,Dawsonville, GA,Chevrolet,ColoradoCrew
252300,16995,2015,31686,Lakewood, WA,Ford,FusionTitanium
676672,14595,2009,121873,Conway, SC,Nissan,MuranoAWD
29477,19250,2012,59259,Valencia, CA,BMW,3
107746,19000,2014,16857,Clinton Township, MI,Chevrolet,EquinoxAWD
849088,23777,2012,40670,Syracuse, NY,Volvo,XC90AWD
544344,2944,2008,180093,LaBelle, FL,Kia,Sedona4dr
472120,27800,2015,40995,Westmont, IL,INFINITI,Q70V6
217549,18999,2016,19375,Owensboro, KY,Dodge,Grand
98353,16410,2016,20216,Taylor, MI,Chevrolet,Malibu
165218,25937,2009,32167,West Valley, UT,Chevrolet,Corvette2dr
281924,22995,2017,34838,Mission Hills, CA,Ford,MustangEcoBoost
408094,17349,2013,61079,Lebanon, NH,Honda,CR-VEX-L
470188,29967,2016,9457,San Jose, CA,INFINITI,Q50RWD
464165,19390,2013,57404,Sanford, FL,Hyundai,Santa
303087,7499,2007,164118,Dallas, TX,Ford,Expedition
252556,10300,2014,93674,Carrollton, TX,Ford,FusionSE
280511,13000,2005,53800,New Haven, IN,Ford,Mustang2dr
726972,13995,2015,36762,Brooklyn Park, MN,Scion,xBAutomatic
648026,10936,2012,84300,San Antonio, TX,Nissan,Altima4dr
289751,27499,2017,2642,West Park, FL,Ford,MustangEcoBoost
52378,27996,2014,37301,Bellevue, WA,BMW,X3xDrive28i
784348,5490,2006,162002,Fredericksburg, VA,Toyota,Camry
703643,99879,2016,3477,White Plains, NY,Porsche,PanameraGTS
475039,22900,2013,49242,Baltimore, MD,INFINITI,G37
416683,9987,2011,140854,Springfield, MO,Honda,Element2WD
743531,17598,2014,43909,North Attleboro, MA,Subaru,Forester2.5i
524164,10311,2014,82764,Corpus Christi, TX,Kia,ForteEX
575391,25493,2015,19172,Salt Lake City, UT,Lincoln,MKCAWD
591030,13950,2015,40971,Battle Creek, MI,Mazda,MX5
7117,14995,2008,106822,North Hampton, NH,Acura,MDX4WD
358260,19988,2010,81471,Gladstone, OR,GMC,Sierra
661056,17541,2015,24145,Pembroke Pines, FL,Nissan,RogueSV
548532,17598,2015,63119,Littleton, CO,Kia,SorentoLX
789939,10998,2007,113367,Lynnwood, WA,Toyota,Highlander4WD
460121,12995,2009,60606,Daly City, CA,Hyundai,Genesis4dr
661735,19750,2014,53128,Louisville, KY,Nissan,Maxima3.5
776240,8923,2009,102973,Denver, CO,Toyota,Prius5dr
351820,22695,2017,27949,Victorville, CA,GMC,TerrainFWD
